Δαρείου	OF DARIUS
Κῦρος	riding-past
παρελαύνων	not
οὐ	very
πάνυ	near
πρὸς	to-this
αὐτῷ	(his)
τῷ	-
στρατεύματι,	army,
κατεθεᾶτο	surveyed (the armies)
ἀποβλέπων	looking-at
ἑκατέρωσε,	each-side,
τε	not-only
εἰς	towards
τοὺς	the
πολεμίους	enemy
καὶ	but-also
τοὺς	(towards)
φίλους.	(his friends.
Δὲ	But
Ξενοφῶν	Xenophon
᾿Αθηναῖος	(an) Athenian
ἰδὼν	seeing
αὐτὸν	hin
ἀπο	from
τοῦ	the
Ἑλληνικοῦ,	Grecian (line),
ὑπελάσας	having-ridden-up
ὡς	as-if
συναντῆσαι,	to-have met (him),
ἤρετο	asked
εἶ	if
τι	he-may-'have any-thing
παραγγέλλοι	'to-order
ὁ	who
δ΄	having-stopped
ἐπιστήσας	(his horse)
εἶπε,	said,
καὶ	and-also
ἐκέλευε	ordered (him)
λέγειν	to-tell
πᾶσιν,	ali,
ὅτι	that
καὶ	both
τὰ	the
ἱερὰ	sacrifices
καὶ	and
τὰ	the
σφάγια	victims (were)
καλα.	favourable.
Λέγων	Saying
δὲ	this
ταῦτα	he-heard
ἤκουσε	(a)
θορύβου	noise
ἰόντος	going
διὰ	through
τῶν	the
τάξεων,	ranks,
και	and
ἤρετο	he-inquired
τίς	what
ὁ	the
θόρυβος	noise
εἴη.	might-be.
Ὁ	And
δὲ	Xenophon
Ξενοφῶν	said,
εἶπεν,	that
ὅτι	the
τὸ	watch-word
σύνδημα	'is
ἤδη	now
παρέρχεται	'passing (through the ranks)
δεύτερον.	for-the-second-time.
Καὶ	And
ὃς	(who)
ἐθαύμασε	(Cyrus) wondered
τίς	what-person
παραγγέλλει,	gives-out (the word),
καὶ	and
ἤρετο	he-asked
ὅ	what
τι	the
τὸ	watch-word
σύνθημα	might-be.
εἴη.	And
Ὁ	he-replied,
δ᾽	that
ἀπεκρίνατο,	(it was)
ὅτι	Jupiter
Ζεὺς	(the)
σωτὴρ	preserver
καὶ	and
νίκη.	victory.
Ὁ	And
δὲ	Cyrus
Κῦρος	having-heard
ἀκούσας,	(it),
ἔφη,	said,
ἀλλὰ	but
τε	'I not-only
δέχομαι	'receive (it)
καὶ	but-also
ἔστω	let-it-be
τοῦτο.	so.
Δὲ	And
εἰπών	having-said
ταῦτα	this
ἀπήλαυνε	he-rode-away
εἰς	to-the
τὴν	place
χώραν	of-himself;
ἑαυτοῦ·	[to his own station in the line ;)
καὶ	and
τὰ	the-two
φάλ-	armies
λαγγε	were-apart
διειχέτην	from
ἀπ᾿	one-another
ἀλλήλων	not
οὐκέτι	more-than
τρία	three
ἢ	or
τέτταρα	four
στάδια,	stadia,
ἡνίκα	when
οἱ	the
Ἕλληνες	Greeks
τε	not-only
ἐπαιάνιζον,	sang-the-pæan'
καὶ	but-also
ἤρχοντο	began
ἰέναι	to-go
ἀντίοι	against
τοῖς	the
πολεμίοις.	enemy.
Δὲ	But
ὡς	as
πορευομένων	(they) were-proceeding
τι	some
τῆς	(part) of-the
φάλαγγος	phalanx
ἐξεκύμαινε	fluctuated (from the rest)
,	the
τὸ	(part)
ἐπιλειπόμενον	left-behind
ἤρξατο	began
θεῖν	to-run
δρόμῳ·	with-speed;
καὶ	and
πάντες	(they) all
ἄμα	together
ἐφθέγξαντο	made-a-noise
οἱόνπερ	Like-as
ἐλελίζουσι	they-shout
τῷ	to-Mars,
Ἐνυαλίῳ,	and
καὶ	also
δὲ	all
πάντες	ran.
ἔθεον.	And
Δὲ	some
τινες	say,
λέγουσι,	that
ὡς	'they also
καὶ	'sounded
ἐδούπησαν	'with (their)
ταῖς	'shields
ἀσπίσι	against
πρὸς	the
τὰ	spears,
δόρατα,	causing
ποιοῦντες	fear
φόβον	to-the
τοῖς	horses.
ἵπποις.	But
Δὲ	before
πρὶν	(that)
τόξευμα	(an) arrow
ἐξικνεῖσθαι,	reaches (them),
οἱ	the
βάρβαροι	barbarians
ἐκκλίνουσι,	give-way,
καὶ	and
φεύγουσι.	flee.
Καὶ	And
δὴ	also
ἐνταῦθα	there
μὲν	indeed
οἱ	the
Ἕλληνες	Greeks
ἐδίωκον	followed
κατὰ	with
κράτος,	(all their) might,
δὲ	and
ἐβόων	calling-out
ἀλλήλοις	to-one-another
μὴ	not
θεῖν	to-run
δρόμῳ,	with-speed,
ἀλλὰ	but
ἕπεσθαι	to-follow
ἐν	in
τάξει.	order.
Δὲ	But
τὰ	the
ἅρματα,	chariots,
κενὰ	void
ἡνιόχων,	of-drivers,
ἐφέροντο	were-born
τὰ	(some)
μὲν	indeed
διὰ	through
τῶν	(the ranks)
πολεμίων	of-the
αὐτῶν,	enemy themselves,
δὲ	but
τὰ	(others)
καὶ	also
διὰ	through
τῶν	(the ranks)
Ἑλλήνων.	of-the Greeks.
Δὲ	But
οἱ,	(they),
ἐπεὶ	when
προϊδοιεν,	they-could-see (them coming)
διίσταντο.	| they-stood-apart [they opened their ranks];
δ'	but
ἔστι	there-was
ὅστις	some-one-person
καὶ	(who) also
κατελήφθη,	was-caught,
ὥσπερ	as
ἐν	in
ἱπποδρόμῳ,	(a) race-course,
ἐκπλαγείς·	he-having-been-struck-with-fear;
καὶ	and
ἔφασαν	they-said
μέντοι	however
οὐδὲ	(that) neither
τοῦτον	'did this-person
παθεῖν	'suffer
οὐδὲν·	| nothing; [in any thing];
οὐδ᾽	| neither
οὐδεὶς	'did no-one
ἄλλος	other indeed
δὲ	[nor did any one else]
τῶν	of-the
Ἑλλήνων	Greeks
ἐπαθεν	| suffer
οὐδέν	nothing [suffer any thing)
ἐν	in
ταύτῃ	this
τῇ	battle,
μάχῃ,	except
πλὴν	on
ἐπὶ	the
τῷ	left,
εὐωνύμῳ	somo-che
τις	was said
ἐλέγετο	to-have-been-shot-with-an-arrow.
τοξευθῆναι.	But
Δὲ	Cyrus
Κῦρος	seeing
ὁρῶν	the
τοὺς	Greeks
Ἕλληνας	conquering
νικῶντα,	and
καὶ	pursuing
διώκοντας	the
τὸ	(part of the army)
καθ᾽	opposed-to
αὑτοὺς,	them,
ἡδόμενος	being-pleased,
καὶ	and
προσκυνούμενος	being-saluted
ἤδη	now
ὡς	as
βασιλεὺς	king
ὑπὸ	by
τῶν	(those)
ἀμφ᾿	about
αὐτόν,	him,
οὐδ᾽	nor
ὡς	(yet) was-'he
ἐξήχθη	thus 'led-away
διώκειν,	to-pursue (the enemy),
ἀλλὰ	but
ἔχων	keeping
συνεσπειραυμένην	drawn-up-in-close-order
τὴν	the
τάξιν	band
τῶν	of-the
ἑξακοσίων	six-nundred
ἱππέων	horsemen
σὺν	with
ἑαυτῷ,	himself,
ἐπεμελεῖτο	he-carefully-watched
ὅτι	what
βασιλεύς	(the) king
ποιήσει·	would-do;
γὰρ	for
καὶ	'he well
ᾔδει	'knew
αὐτόν	(him)
ὅτι	that
ἔχοι	he-kept
μέσον	the-centre
τοῦ	of-the
Περσικοῦ	Persian
στρατεύματος.	army.
Και	And
δὲ	also
πάντες	all
οἱ	the
ἄρχοντες	commanders
τῶν	of-the
βαρβάρων	barbarians
ἡγοῦντο,	led (them thus into action)
ἔχοντες	occupying
τὸ	the
μέσον	centre
αὑτῶν	of-their (command)
νομίζοντες	thinking
οὕτω	thus
καὶ	also
εἶναι	to-be
ἐν	in
ἀσφαλεστάτῳ	the-most-secure
ἢν	if
ἡ	the
ἰσχὺς	strength
αὐτῶν	of-them [their strength]
ᾖ	should-be
ἐκατέρωθεν,	on-either-side,
και	and,
εἰ	if
χρήζοιεν	they-should-want
παραγγείλαι	to-order
τι,	any-thing,
τὸ	(that) the
στράτευμα	army
ἂν	may
αἰσθάνεσθαι	perceive
ἡμίσει	in-half
χρόνῳ.	(the) time.
Καὶ	And
δὴ	even-indeed
βασιλεὺς	(the) king
τότε	then
ἔχων	having
μέσον	(the) centre
τῆς	of-the
στρατιᾶς	army
αὑτοῦ	of-him [of his army]
ἐγένετο	was
ὅμως	nevertheless
ἔξω	beyond
εὐωνύμου	(the) left
κέρατος	wing
τοῦ	of-Cyrus.
Κύρου.	When
Ἐπεὶ	indeed
δὲ	no-on
οὐδεὶς	fought
ἐμάχετο	from
ἐκ	the
τοῦ	opposite
ἀντίου	(part)
αὐτῶ	(either) against-himself
οὐδὲ	(nor) (or)
τοῖς	(those of his own troops)
τεταγμένοις	drawn-up
ἔμπροσθεν	before
αὐτοῦ,	him.
ἐπέκαμπτεν	he-commenced-wheeling-round
ὡς	as
εἰς	for-the-purpose-of
κυκλωσιν.	surrounding
Ἔνθα	Then
δὴ	indeed
Κῦρος	Cyrus,
δείσας	fearing
μὴ	lest
γενόμενος	having-got
ὄπισθεν	in-the-rear
κατακόψη	he-might-cut-to-pieces
τὸ	the
Ἑλληνικόν	Grecian (forces),
ἐλαύνει	moves-on
ἀντίος·	against (him);
καὶ	and
ἐμβαλὼν	having-charged
σὺν	with
τοῖς	the
ἑξακοσίοις	six-hundred (horsemen with Aim),
νικᾷ	conquers
τοὺς	(those)
τεταγμένους	drawn-up
πρὸ	before
βασιλέως,	(the) king,
καὶ	und
ἔτρεψε	turns
εἰς	into
φυγὴν	flight
τοὺς	the
ἑξακισχιλίους,	six-thousand (horsemen guarding the king),
καὶ	and
αὐτὸς	he (Cyrus)
λέγεται	is-said
ἀποκτεῖναι	to-have-killed
τῇ	with-the
χειρὶ	hand
ἑαυτοῦ	of-himself [with his own hand]
᾿Αρταγέρσην	Artagerses
τὸν	the
ἄρχοντα	commander
αὐτῶν.	of-them.
Δὲ	But
ὡς	as
ἡ	the
τροπὴ	rout
ἐγένετο,	occurred,
καὶ	also
οἱ	the
ἑξακόσιοι	six-hundred (horsemen)
Κύρου,	of-Cyrus,
διασπείρονται	are-dispersed
ὁρμήσαντες	having-rushed-on
εἰς	| to
τὸ	the
διώκειν·	pursuing; [in pursuit];
πλὴν	except
πάνυ	(a) very
ὀλίγοι	few,
κατελείφθησαν	(that) were-left
ἀμφ᾿	about
αὐτὸν,	him,
σχεδὸn	(and who were) nearly-all
οἱ	(those who)
καλούμενοι	are-called
ὁμοτράπεζοι.	table-companions.
Ὧν	Being
δὲ	therefore
σὺν	with
τούτοις,	these,
καθορᾷ	he-sees
βασιλέα	(the) king
καὶ	and
τὸ	the
στίφος	dense-body-guard
ἀμφ᾽	around
ἐκεῖνον,	him,
καὶ	and
εὐθὺς	immediately
οὐκ	he-'did not
ἠνέσχετο	'restrain-himself,
ἀλλ᾽	but
εἰπών,	saying,
ὁρῶ	I-see
τὸν	the
ἄνδρα,	man,
ἵετο	he-rushed
ἑπ'	on
αὐτὸν·	nim;
καὶ	and
παίει	strikes
κατὰ	at
τὸ	(his)
στέρνον,	breast,
καὶ	and
τιτρώσκει	wounds (him)
διὰ	through
τοῦ	the
θώρακος,	breast-plate.
ὡς	as
Κτησίας	Ctesias
ὁ	the
ἰατρός	physician
φησί,	says,
καὶ	and
αὐτὸς	(moreover) he-himself
φησί	says
ἰᾶσθαι	(that) he-healed
τὸ	the
τραῦμα.	wound.
Δὲ	But
τις	some-one,
παίοντα	(while he was) striking (at the king)
ἀκοντίζει	hits
αὐτὸν	him
βιαίως	violently
παλτῷ	'with (a)
ὑπὸ	'javelin under
τὸν	the
ὀφθαλμὸν·	eye;
καὶ	and
ἐνταῦθα	there
καὶ	(then were) both
βασιλεύς	(the) king
καὶ	and
Κῦρος	Cyrus
μαχόμενοι,	fighting,
καὶ	and
οἱ	(those likewise)
ἀμφ᾽	about
αὐτοὺς	them
ὑπὲρ	(were fighting), for
ἑκατέρου·	each (of their own chiefs);
ὁπόσοι	how-many
μὲν	indeed
τῶν	(of those)
ἀμφὶ	about
βασιλέα	(the) king
ἀπέθνησκον	died (in battle)
Κτησίας	Ctesias
λέγει·	tells (us);
γὰρ	| for
ἦν	he-was
παρ᾽	about
ἐκείνῳ·	him; [for he attended the king's person];
δὲ	and
τε	not-only
Κύρος	Cyrus
αὐτός	himself
ἀπέθανε,	died,
καὶ	but-also
ὀκτὼ,	eight,
οἱ	the
ἄριστοι	most-distinguished (persons)
τῶν	(of those)
περὶ	about
αὐτὸν,	him,
ἔκειντο	lay
ἐπ᾿	(dead) on
αὐτῷ.	him.
Δὲ	But
᾿Αρταπάτης,	Artapates,
ὁ	the
πιστότατος	most-faithful
αὐτῷ	to-him
τῶν	(of his)
σκηπτούχων	sceptre-bearing
θεράπων,	servants,
λέγεται,	is-said,
ἐπειδὴ	after
εἶδε	he-saw
Κύρον	Cyrus
πεπτωκότα,	fallen,
καταπηδήσας	(that) having-leaped
ἀπὸ	from
τοῦ	(his)
ἵππου	horse
περιπεσεῖν	to-have-thrown (himself)
αὐτῷ.	on-him.
Καὶ	And
οἱ	(some)
μὲn	indeed
φασι	say
βασιλέα	(that) (the) king
κελεῦσαί	ordered
τινα	some one
ἐπισφάξαι	| to-have-killed [to kil!]
αὐτον	him
Κύρῳ,	(lying) on-Cyrus,
οἱ	but
δὲ	(others say, that)
σπασάμενον	having-drawn
τὸν	(his)
ἀκινάκην,	scimitar,
ἐπισφάξασθαι	he-killed
ἑαυτὸν·	himself:
γὰρ	for
εἶχε	he-had
χρυσοῦν·	(a) golden-one;
δὲ	and
καὶ	also
ἐφόρει	he-wore
στρεπτὸn,	(a) chain,
και	and
ψέλλια,	bracelets,
καὶ	and
τάλλα,	(such) other (ornaments),
ὥσπερ	as
οἱ	the
ἄριστοι	most-distinguished
Περσῶν·	'of (the) 'Persians (are accustomed to wear);
γὰρ	for
ἐτετίμητο	he-had-been-honoured
ὑπὸ	by
Κύρου	Cyrus
τε	not-only
δι	for
εὔνοιαν	(his) good-will-and-affection,
καὶ	but also
πιστότητα.	(for his) very-great-fidelity.
Οὕτως	Thus
οὖν	now
μὲν	indeed
ἐτελευτησε	died
Κῦρος,	Cyrus,
ἀνὴρ	(a) man
ὧν	being
τε	not-only
τῶν	of (all)
Περσῶν	'the Persians
γενομένων	existing
μετα	since
Κῦροι·	Cyrus
τὸν	the
ἀρχαῖον,	elder,
βασιλικώτατος,	princely,
καὶ	but-also
ἀξιώτατος	the-most-worthy
ἄρχειν,	to-reign,
ὡς	as
ὁμολογεῖται	is-agreed-to
παρὰ	bý
πάντων	all
τῶν	| (those
δοκούντων	appearing
γενέσθαι	to-have-been
ἐν	in
πείρα	(the) experience
Κύρου.	of-Cyrus (those intimately acquainted with Cyrus].
Γὰρ	For
μὲν	indeed
πρῶτον,	first,
ὧν	being
ἐτι	yet
παῖς,	(a) boy,
ὅτε	when
ἐπαιδεύετο	he-was-educated
καὶ	both
σὺν	with
τῷ	(his)
ἀδελφῷ	brother
καὶ	and
σὺν	with
τοῖς	the
ἄλλοις	other
παισί,	boys,
ἐνομίζετο	he-was-thought
κράτιστος	(to be) the-best
πάντων	of-all
πάντα.	in-all-things.
Γὰρ	For
πάντες	all
οἱ	the
παῖδες	song
τῶν	f-Persians
ἀρίστων	eminent-in-rank,
παιδεύονται	are-educated
ἐπὶ	| at
ταῖς	the
θύραις	gates
βασιλέως·	'of (the) 'king; [in the royal palace);
ἔνθα	there
τις	one
ἄν	may
καταμάθοι	learn
μὲν	indeed
πολλὴν	much
σωφροσύνην,	(of the) wisdom-of-temperance-and-modesty,
δ'	but
ἔστι	it-is (possible)
οὔτ᾽	neither
ἀκοῦσαι	to-hear
οὔτ᾽	nor
ἰδεῖν	to-see
οὐδὲν	any-thing
αἰσχρὸn.	base.
Δ᾽	But
οἱ	the
παῖδες	boys
καὶ	both
θεῶνται	see
τοὺς	(those)
τιμωμένους	honoured
ὑπὸ	by
βασιλέως	(the) king
καὶ	and
ἀκούουσι,	hear (thereof),
καὶ	and
ἄλλους	(in like manner of) others
ἀτιμαζομένους·	being-disgraced;
ὥστε	so-that
εὐθὺς	straightway
ὄντες	being
παῖδες	(yet) boys
μανθάνουσι	they-learn
τε	not-only
ἄρχειν	to-govern
καὶ	but-alsว
ἄρχεσθαι.	to-be-governed.
Ἔνθα	There
Κῦρος	Cyrus
μὲν	indeed
ἐδόκει	seemed
πρῶτον	first (of all)
εἶναι	to-be
αἰδημονέστατος	the-most-modee ful
τῶν	(of his)
ἡλικιωτῶν,	equals-in-age,
τε	(and) not-only
πείθεσθαι	to-obey
τοῖς	the
πρεσβυτέροις	elders
καὶ	but-also
μᾶλλον	much-more (readily than)
τῶν	(those)
ὑποδεεστέρον	more-inferior
ἑαυτοῦ·	(to) him (in rank);
δ'	and
ἔπειτα	next-then
Φιλιππότατος,	he-was-most-fond-of-horses,
καὶ	and
χρῆσθαι	(was able) to-use (or manage)
τοῖς	the
ἵπποις	horses
ἄριστα.	(in the) best (manner).
ἔκρινον	And they-discerned
αὐτὸν	him
εἶναι	to-be
καὶ	also
φιλομαθέστατον	the-most-desirous-in-learning,
καὶ	and
μελετηρότατον	most-diligent and-indefatigable
τῶν	(in) the
ἔργων	operations
εἰς	for
τὸν	war,
πόλεμον,	[in warlike exercises),
τε	not-only
τοξικῆς	(those) of-archery
καὶ	but-also
ἀκοντίσεως.	(those) of-throwing-the-dart.
Ἐπεὶ	When
δὲ	indeed
ἔπρεπε	it-became
τῇ	- (his)
ἡλικίᾳ,	age,
ἦν	he-was
καὶ	both
φιλοθηρότατος,	most fond-of-hunting,
καὶ	and
μέντοι	even
φιλοκινδυνότατος	most-fond-of-danger-and-adventure
πρὸς	(in encounters) against
τὰ	wild-hearts
θηρία.	And
Καὶ	once
ποτὲ	he-'did not
οὐκ	'fear
ἔτρεσεν	(a) she-bear
ἄρκτοι	Shrink from
ἐπιφερομένην,	(when) attacking (him),
ἀλλὰ	| but
συμπεσών	falling-together [but in the attack and conflict]
κατεσπάσθη	he-was-dragged
ἀπὸ	from
τοῦ	(his)
ἵππου,	horse,
καὶ	land
μὲν	indeed
ἔπαθε	he-suffered
τὰ	the [he received some wounds]
καὶ,	and,
τὰς	the
ὠτειλὰs	scars
ὧν	of-which
εἶχε	he-had
φανερὰς,	visible (on his body),
δὲ	but
τέλος	at-last
κατέκανε,	he-killed (the bear),
καὶ	and
μέντοι	indeed
ἐποίησε	he-made
τὸν	the (person)
πρῶτοι	first
βοηθήσαντα	coming-to-assist (him)
μακαριστόν	to-be-considered-very-happy
πολλοῖς.	by-many."
Ἐπεὶ	When
δὲ	indeed
κατεπέμφθη	he-was-sent-down
ὑπὸ	by
τοῦ	(his)
πατρὸς	father
σατράπης	(as satrap
Λυδίας	of-Lydia
τε	and
καὶ	also
τῆς	of-the
μεγάλης	Great
Φρυγίας	Phrygia
καὶ	and
Καππαδοκίας,	Cappadocia,
δὲ	and
καὶ	likewise
ἀπεδείχθη	appointed
στρατηγός	commander
πάντων,	of-all,
οἷς	to-whom
“καθήκει	is duty of it-appertains
ἀθροίζεσθαι	to-be-assembled
εἰς	in
πεδίον	(the) plain
Καστωλοῦ,	of-Castolus,
πρῶτων	first
μὲν	indeed
ἐπέδειξεν	he-showed
αὐτὸν	himself
ὅτι	| that
ποιοῖτο	he-made
περὶ	(it) for
πλείστου,	'himself very-much, [that he held it of the greatest importance to himself],
ει	if
σπείσαιτο	he-made-a-treaty
τῳ	- (with any one),
και	and
εἴ	if
σύνθοιτο	he-made-an-agreement
τῳ	- (with any one),
καὶ	and
εἶ	if
τῳ	(to any cne)
ὑπόσχοιτό	he-promised
Τι	any-thing,
ψεύδεσθαι	to-deceive
μηδὲν.	(in) nothing.
Καὶ	And
γαρ	therefore
οὖν	indeed
μὲν	the
αἱ	cities
πόλεις	entrusting-themselves
ἐπιτρεπόμεναι	to-him,
αὐτῷ	confided
ἐπίστευον	(in him)
δ'	as-also
οἱ	(in like manner
ἄνδρες	did private) -
ἐπίστευον·	men confide (in him);
καὶ	and
εἴ	if
τις	anyone
ἐγένετο	became
πολέμιος,	hostile,
Κύροι	Cyrus
σπεισαμένου	having-made-a-treaty (with him)
ἐπίστευε	he-was-confident
ἂν	(that) 'he would
παθεῖν	(have to) suffer
μηδὲν	nothing
παρὰ	contrary
τὰς	to the
σπονδὰs.	treaty.
Τοιγαροῦν	Therefore
ἐπει	when
ἐπολέμησε	he-waged-war
Τισσαφέρνει,	(against) Tissaphernes,
πᾶσαι	all
αἱ	the
πόλεις	towns
ἑκοῦσαι	and woluntarily to chose
εἵλοντο	Cyrus
Κῦρον	before
ἀντὶ	Tissaphernes
Τισσαφέρνους	except
πλὴν	(the)
Μιλησίων·	Milesians;
δὲ	but
οὗτοι	they
ἐφοβοῦντο	feared
αὐτόν	him,
ὅτι	because
οὐκ	he-'did not
ἤθελε	'wish
προέσθαι	to-abandon
τοὺς	|-
φεύγοντας.	(those) fleeing [the exiles].
Γὰρ	For
καὶ	'he also
ἐπεδείκνυντο	'showed
ἔργῳ,	'by (his) 'deeds,
καὶ	and
ἔλεγεν,	said,
ὅτι	tha
ἄν	'he would
οὐ	not
ποτε	ever
προοίτο	desert (them),
ἐπεὶ	when
ἅπαξ	once
ἐγένετο	he-became
φίλος	(a) friend
αὐτοῖς,	to-them,
οὐδ᾽	nor
εἰ	if
μὲν	indeed
γένοιντο	they-should-become
ἔτι	yet
μείους	less (in number),
δὲ	and
πράξειαν	should-suffer
ἔτι	(a) yet
κάκιον.	worse (condition than they were in).
Καὶ	And
εἶ	if
τίς	any-one
ποιήσειεν	should-do
αὐτόν	him
τι	any-thing
ἀγαθὸn	good
ἢ	or
κακὸν,	bad,
ἦν	it-was
δὲ	indeed
φανερός	evident
πειρώμενος	(that he was) striving
νικᾶν·	to-conquer (in these respects);
καὶ	and
δὲ	also
τινες	some
ἐξέφερον	used-to-mention
εὐχὴν	(a) wish
αὑτοῦ,	of-him,
ὡς	that
εὔχοιτο	he-desired
ζῆν	to-live
τοσοῦτον	so-long
χρόνον,	(a) time,
ἔστε	until
νικῴη	'he, requiting
ἀλεξόμενος,	(them), 'might-excel
καὶ	both
τοὺς	(those)
ποιοῦντας	acting
εὖ	well
καὶ	and
τοὺς	(those)
κακῶς.	(acting) ill (to him).
Καὶ	And
γὰρ	therefore
οὖν	truly
δὴ	the-most
πλεῖστοι	(of men)
ἑνί	desired
γε	to-commit
τῶν	to-him
ἐφ᾽	(the)
ἡμῶν	one (only)
ἀνδρὶ	man
ἐπεθύμησαν	at-least
προέσθαι	in our
αὐτῷ	(time)
καὶ	(their)
χρήματα	property,
καὶ	(their)
πόλεις	towns,
καὶ	and
τὰ	the
σώματα	bodies
ἑαυτῶν.	of-them [and their persons].
Οὐ	Nor
μὲn	indeed
δὴ	can
ἄν	any-one
τις	say
εἶποι	this,
οὐδὲ	that
τοῦτ᾽,	he-let
ὡς	the
εἴα	evildoers
τοὺς	and
κακούργους	unjust
καὶ	deride
ἀδίκους	(his authority),
καταγελᾶν,	but
ἀλλ'	most-unsparingly
ἀφειδέστατα	of-all
πάντων	(men)
ἐτιμωρεῖτο.	he-punished (transgressors).
,	| And
ἦν	it-was
πολλάκις	often
ἰδεῖν,	to-see, [and there were often to be seen],
παρὰ	on
τὰς	the
στειβομένας	trodden
ὁδούς,	roads [on the frequented roads]
ἀνθρώπους	men
στερομένους	deprived
καὶ	(or)
ποδῶν,	of-feet,
καὶ	(or)
χειρῶν	of-hands,
καὶ	(or)
ὀφθαλμῶν·	of-eyes;
ὥστε	so-that
ἐν	in
τῇ	the
ἀρχῇ	dominion
Κύρου	of-Cyrus
ἐγένετο	it-was (possible)
καὶ	'for both
Ἕλληνι	Greek
καὶ	and
βαρβαρῳ,	barbarian,
μηδὲν	'doing
ἀδικούντι,	nothing 'wrong,
πορεύεσθαι	to-travel
ἀδεῶς,	fearlessly,
ὅποι	withersoever
τις	one
ἤθελεν,	wished,
ἔχοντι	(and) having
ὅ	(with him)
τι	whatever
προχωροίη.	he-might-proceed-with (that suited his convenience).
Ωμολόγητο	It-has-been-acknowledged
γε	indeed
μέντοι	(that)
τιμᾶν	he-honoured
διαφερόντως	very-much
τούς	|-
ἀγαθοὺς	(those) good
εἰς	for
πόλεμον.	war [those having a disposition for, and skilled in, military affairs].
Καί	And
μὲν	indeed
πόλεμος	|(a) war
ἦν	was
αὐτῷ	to-him
πρῶτον	first [his first war was]
πρός	against
Πισίδας	(the) Pisidians
καὶ	and
Μυσούς·	Mysians;
καὶ	and
οὖν	therefore
αὐτὸς	himself
στρατευόμενος	eading-an-armý
εἰς	into
ταύτας	these
τὰς	places,
χώρας,	(those)
οὓς	whom
ἑώρα	he-saw
έθελοντας	willing
κινδυμεύειν	to-encounter-danger (in his service)
τούτους	the-same
καὶ	(also)
ἐποίει	he-made
ἄρχοντας	rulers
χώρας	'of (the)
ἧς	'places
κατεστρέφετο,	which he-subjugated,
δε	and
ἔπειτα	moreover
καὶ	'he also
ἐτίμα	'honoured
δώροις	(them) with-rewards
ἄλλῃ.	in-another (manner).
Ώστε	So (that)
φαίνεσθαι	indeed
μὲn	| the
τοὺς	good
ἀγαθοὺς	[brave men] appear
εὐδαιμονεστάτους,	(to be) the-most-fortunate,
δὲ	but
τοὺς	(that)
κακοὺς	the bad [cowards]
ἀξιοῦσθαι	were-considered-worthy
εἶναι	(only) to-be
δούλους	(the) slaves
τούτων.	of-these (brave men).
Τοιγαροῦν	Therefore
ἦν	there-was
πολλὴ	(a) great
ἀφθονία	abundance
αὐτῷ	to-him [Cyrus]
τῶν	of-those
θελόντων	willing
κινδυνεύειν,	to-encounter-danger,
ὅπου	when
τις	any-one
οἴοιτο	might-think
Κῦρον	(that) Cyrus
αἰσθήσεσθαι.	would-perceive (him).
Μὲn	In-truth
γε	as-regards
εἰς	justice,
δικαιοσύνην,	if
εἴ	any-one
τις	might-become
γένοιτο	apparent
φανερὸς	to-him
αὐτῷ	(as)
βουλόμενος	desiring
ἐπιδείκνυσθαι,	to-show (this virtue in himself),
περὶ	above
παντὸς	all,
ἐποιεῖτο	he-caused
ποιεῖν	to-make
τούτους	such
πλουσιωτέρους	richer
τῶν	(than)
φιλοκερδούντων	- (those)
ἐκ	seeking-gain
τοῦ	by
ἀδίκου.	injustice.
Καὶ	And
γὰρ	therefore
οὖν	-not-only
τε	many
πολλὰ	other
ἄλλα	(things)
διεχειρίξετο	were-administered
δικαίως	justly
αὐτῷ,	for-him,
καὶ	but-also
ἐχρήσατο	he-had-the-use-of
ἀληθινῷ	(a) real
στρατεύματι.	army, (and one worthy of the name).
Γὰρ	For
καὶ	also
στρατηγοὶ	generals
καὶ	and
λοχαγοὶ	captains
ἔπλευσαν	| sailed
πρὸς	to
ἐκεῖνον	him, Reame to him from other countries]
οὐ	not
ἕνεκα	on-account
χρημάτων,	of-money,
ἀλλ'	but
ἐπει	after
ἔγνωσαν	they-knew
εἶναι	(it) to-be
κερδαλεώτερον	more-profitable
πειθαρχεῖν	to obey and serve)
Κύρῳ	Cyrus
καλῶς,	well,
ἢ	than
τὸ	the
κέρδος	gain
κατὰ	for
μῆνα.	(a) month [than their monthly wages].
᾿Αλλὰ	But
μὲn	indeed
εἶ	if
τίς	any-one
γέ,	at-least,
αὐτῷ	he
προστάξαντι	having-commanded
τι,	any-thing,
ὑπηρετήσειεν	should-have-assisted-to-do
καλῶς	(it) well
οὐδενὶ	to-no-one
πώποτε	(acting thus)
εἴασε	did-'he ever
τὴν	'permit
προθυμίαι	(his) alacrity
ἀχάριστον.	(to go) unrewarded.
Τοιγαροῦν	Therefore
δὴ	truly
κράτιστοι	the-best
ὑπηρέται	servants-and-officers
παντὸς	of-every
ἔργου	work (or undertaking)
ἐλέχθησαν	were-said
γενέσθαι	to-be
Κύρῳ.	to-Cyrus [the best talents for all affairs were at the command of Cyrus].
Εἰ	If
δὲ	also
ὁρῴη	he-saw
τινα	any-one
ὄντα	(being)
δεινὸν	(a) skilful
οἰκονόμον	manager
ἑκ	| from
τοῦ	justice,
δικαίου,	[consistent with justice],
καὶ	and
κατασκευάζοντά,	improving-the-land,
τε	not-only
